,+/-,3P,3P%,3PA,3PAr,AST,BLK,Code,DRB,Day,FG,FG%,FGA,FT,FT%,FTA,FTr,Home,Losses,Month,ORB,PF,PTS,STL,Starters MP,TOV,TS%,Wins,Year,eFG%,Date,Checker,Team,Spread,Line
0,105,5,0.45454545454545453,11,0.05555555555555555,24,7,gswuta,40,30,41,0.45555555555555555,90,30,0.8333333333333334,36,0.3333333333333333,0,0,10,16,26,117,9,30.320000000000004,19,0.5527210884353742,0,2007,0.48333333333333334,20071030,20071030gswuta,Utah, +4,-110
1,10,6,0.2727272727272727,22,0.08108108108108109,23,5,lalhou,37,30,34,0.4594594594594595,74,21,0.6774193548387096,31,0.28378378378378377,0,0,10,12,30,95,10,34.54333333333334,18,0.5419899589228663,0,2007,0.5,20071030,20071030lalhou,Houston, -3,-110
2,-45,6,0.46153846153846156,13,0.07692307692307693,15,4,saspor,32,30,39,0.5,78,13,0.7647058823529411,17,0.16666666666666666,0,0,10,8,19,97,1,34.586666666666666,16,0.5673841834347215,0,2007,0.5384615384615384,20071030,20071030saspor,Portland, +12.5,-110
3,90,9,0.5,18,0.13043478260869565,23,8,cledal,31,31,33,0.4782608695652174,69,17,0.85,20,0.2463768115942029,0,0,10,5,17,92,6,32.81333333333333,16,0.5912596401028278,0,2007,0.5434782608695652,20071031,20071031cledal,Dallas, -4,-110
4,-45,6,0.3,20,0.06060606060606061,15,6,indwas,33,31,36,0.36363636363636365,99,32,0.7111111111111111,45,0.32323232323232326,0,0,10,23,30,110,6,36.71666666666667,18,0.46296296296296297,0,2007,0.3939393939393939,20071031,20071031indwas,Washington, +1,-110
5,15,12,0.5217391304347826,23,0.13793103448275862,23,5,memsas,35,31,38,0.4367816091954023,87,16,0.7272727272727273,22,0.1839080459770115,0,0,10,7,17,104,8,28.18333333333333,9,0.5378568473314025,1,2007,0.5057471264367817,20071031,20071031memsas,San Antonio, -7,-110
6,-95,4,0.23529411764705882,17,0.04597701149425287,16,4,orlmil,30,31,33,0.3793103448275862,87,13,0.5909090909090909,22,0.14942528735632185,0,0,10,18,28,83,4,30.833333333333336,14,0.42925113777410007,0,2007,0.40229885057471265,20071031,20071031orlmil,Milwaukee, +7.5,-110
7,-45,7,0.4117647058823529,17,0.08536585365853659,22,9,torphi,31,31,38,0.4634146341463415,82,14,0.6086956521739131,23,0.17073170731707318,0,0,10,15,17,97,3,31.089999999999996,17,0.5264871906209292,0,2007,0.5060975609756098,20071031,20071031torphi,Philadelphia, +6.5,-110
8,55,6,0.3157894736842105,19,0.075,19,4,miadet,32,01,31,0.3875,80,23,0.7666666666666667,30,0.2875,0,0,11,12,14,91,11,30.98,10,0.48819742489270385,0,2007,0.425,20071101,20071101miadet,Detroit, +4.5,-110
9,55,5,0.3125,16,0.0625,19,8,utahou,32,01,39,0.4875,80,23,0.7666666666666667,30,0.2875,0,0,11,9,24,106,9,31.35,14,0.5686695278969957,1,2007,0.51875,20071101,20071101utahou,Houston, +4,-110
10,-35,4,0.16666666666666666,24,0.05,14,10,atldal,31,02,35,0.4375,80,20,0.8,25,0.25,0,0,11,7,25,94,4,28.380000000000003,10,0.5164835164835165,1,2007,0.4625,20071102,20071102atldal,Dallas, -5.5,-110
11,-100,0,0.0,16,0.0,11,5,boswas,31,02,28,0.35,80,27,0.7714285714285715,35,0.3375,0,1,11,14,23,83,6,35.96333333333333,20,0.4350104821802935,0,2007,0.35,20071102,20071102boswas,Washington, +7,-110
12,55,1,0.09090909090909091,11,0.012048192771084338,18,7,chiphi,37,02,35,0.42168674698795183,83,25,0.7352941176470589,34,0.30120481927710846,0,1,11,18,22,96,9,36.553333333333335,20,0.48999591670069415,0,2007,0.42771084337349397,20071102,20071102chiphi,Philadelphia, +8.5,-110
13,-20,8,0.5333333333333333,15,0.08791208791208792,20,5,clenyk,28,02,42,0.46153846153846156,91,14,0.6086956521739131,23,0.15384615384615385,0,0,11,15,22,106,5,35.74333333333333,11,0.524129746835443,0,2007,0.5054945054945055,20071102,20071102clenyk,New York, +5,-110
14,-10,9,0.5625,16,0.09375,22,9,indmia,38,02,36,0.375,96,4,0.3076923076923077,13,0.041666666666666664,0,1,11,17,15,85,7,32.77666666666667,17,0.4178136059771923,0,2007,0.421875,20071102,20071102indmia,Miami, +7,-110
15,-30,7,0.25,28,0.07446808510638298,23,6,lacgsw,25,02,44,0.46808510638297873,94,19,0.76,25,0.20212765957446807,0,1,11,11,23,114,7,37.06999999999999,10,0.5428571428571428,0,2007,0.5053191489361702,20071102,20071102lacgsw,Golden State, +2.5,-110
16,40,3,0.21428571428571427,14,0.0410958904109589,21,9,minden,40,02,34,0.4657534246575342,73,28,0.7368421052631579,38,0.3835616438356164,0,0,11,9,17,99,7,29.606666666666666,18,0.5517164511814534,1,2007,0.4863013698630137,20071102,20071102minden,Denver, -8,-110
17,120,7,0.4666666666666667,15,0.0958904109589041,22,8,orldet,33,02,43,0.589041095890411,73,23,0.7666666666666667,30,0.3150684931506849,0,0,11,9,23,116,6,29.78,13,0.6728538283062645,1,2007,0.636986301369863,20071102,20071102orldet,Detroit, +3,-110
18,105,8,0.6153846153846154,13,0.09411764705882353,24,2,pholal,43,02,48,0.5647058823529412,85,15,0.75,20,0.17647058823529413,0,1,11,11,20,119,8,24.086666666666666,20,0.6343283582089553,0,2007,0.611764705882353,20071102,20071102pholal,L.A. Lakers, +9.5,-110
19,-80,2,0.16666666666666666,12,0.02666666666666667,15,5,sassac,29,02,29,0.38666666666666666,75,20,0.7692307692307693,26,0.26666666666666666,0,1,11,6,17,80,7,25.14333333333333,14,0.46274872744099954,0,2007,0.4,20071102,20071102sassac,Sacramento, +14.5,-110
20,-105,3,0.42857142857142855,7,0.04285714285714286,14,0,dalsac,16,03,35,0.5,70,29,0.90625,32,0.4142857142857143,0,2,11,11,21,102,8,35.50333333333333,15,0.6065651760228354,0,2007,0.5214285714285715,20071103,20071103dalsac,Sacramento, +14.5,-110
21,-45,2,0.2,10,0.02631578947368421,11,5,houpor,34,03,31,0.40789473684210525,76,16,0.9411764705882353,17,0.21052631578947367,0,2,11,10,18,80,3,31.1,18,0.4791566842357451,0,2007,0.42105263157894735,20071103,20071103houpor,Portland, +12,-110
22,50,4,0.2222222222222222,18,0.0449438202247191,23,3,memind,30,03,47,0.5280898876404494,89,23,0.8518518518518519,27,0.25842696629213485,0,0,11,10,38,121,9,30.070000000000004,17,0.5997224425059476,2,2007,0.550561797752809,20071103,20071103memind,Indiana, +4.5,-110
