,+/-,3P,3P%,3PA,3PAr,AST,BLK,Code,DRB,Day,FG,FG%,FGA,FT,FT%,FTA,FTr,Home,Losses,Month,ORB,PF,PTS,STL,Starters MP,TOV,TS%,Wins,Year,eFG%,Date,Checker,Team,Spread,Line
0,-105,6,0.2608695652173913,23,0.07792207792207792,19,9,gswuta,30,30,32,0.4155844155844156,77,26,0.6842105263157895,38,0.33766233766233766,1,0,10,7,28,96,8,30.973333333333336,20,0.5121638924455826,0,2007,0.45454545454545453,20071030,20071030gswuta,Golden State, -4,-110
1,-10,2,0.25,8,0.02631578947368421,18,3,lalhou,26,30,32,0.42105263157894735,76,27,0.6,45,0.35526315789473684,1,0,10,11,22,93,16,33.61333333333333,12,0.48538622129436326,0,2007,0.4342105263157895,20071030,20071030lalhou,L.A. Lakers, +3,-110
2,45,6,0.25,24,0.06896551724137931,21,4,saspor,28,30,41,0.47126436781609193,87,18,0.6923076923076923,26,0.20689655172413793,1,0,10,12,19,106,8,28.0,8,0.5383990247866721,0,2007,0.5057471264367817,20071030,20071030saspor,San Antonio, -12.5,-110
3,-90,3,0.25,12,0.03896103896103896,13,2,cledal,31,31,28,0.36363636363636365,77,15,0.6,25,0.19480519480519481,1,0,10,16,21,74,11,35.723333333333336,15,0.42045454545454547,0,2007,0.38311688311688313,20071031,20071031cledal,Cleveland, +4,-110
4,45,13,0.4482758620689655,29,0.14130434782608695,20,6,indwas,42,31,38,0.41304347826086957,92,30,0.8333333333333334,36,0.32608695652173914,1,0,10,14,33,119,12,34.24666666666667,17,0.5517433234421365,0,2007,0.483695652173913,20071031,20071031indwas,Indiana, -1,-110
5,-15,10,0.43478260869565216,23,0.125,21,6,memsas,36,31,38,0.475,80,15,0.75,20,0.1875,1,0,10,6,19,101,5,32.82666666666667,14,0.5686936936936937,0,2007,0.5375,20071031,20071031memsas,Memphis, +7,-110
6,95,12,0.5454545454545454,22,0.1643835616438356,15,9,orlmil,33,31,32,0.4383561643835616,73,26,0.7428571428571429,35,0.3561643835616438,1,0,10,9,22,102,2,28.4,10,0.5769230769230769,0,2007,0.5205479452054794,20071031,20071031orlmil,Orlando, -7.5,-110
7,45,9,0.5625,16,0.10588235294117647,23,4,torphi,27,31,41,0.4823529411764706,85,15,0.8823529411764706,17,0.17647058823529413,1,0,10,10,20,106,8,27.51,10,0.5730968858131488,0,2007,0.5352941176470588,20071031,20071031torphi,Toronto, -6.5,-110
8,-51,5,0.38461538461538464,13,0.06666666666666667,15,4,miadet,35,01,33,0.44,75,9,0.6,15,0.12,1,0,11,5,22,80,4,34.22666666666667,17,0.4901960784313726,0,2007,0.47333333333333333,20071101,20071101miadet,Miami, -4.5,-110
9,-55,3,0.21428571428571427,14,0.037037037037037035,24,4,utahou,29,01,36,0.4444444444444444,81,20,0.6896551724137931,29,0.24691358024691357,1,0,11,15,27,95,6,35.79,20,0.5066126279863481,1,2007,0.46296296296296297,20071101,20071101utahou,Utah, -4,-110
10,35,4,0.26666666666666666,15,0.05063291139240506,20,4,atldal,38,02,36,0.45569620253164556,79,25,0.8064516129032258,31,0.31645569620253167,1,0,11,14,23,101,6,30.156666666666666,15,0.5451208981001727,0,2007,0.4810126582278481,20071102,20071102atldal,Atlanta, +5.5,-110
11,130,9,0.34615384615384615,26,0.08333333333333333,28,9,boswas,56,02,53,0.49074074074074076,108,27,0.7105263157894737,38,0.25,1,0,11,14,29,142,13,38.379999999999995,18,0.569275176395125,0,2007,0.5324074074074074,20071102,20071102boswas,Boston, -7,-110
12,-55,7,0.2916666666666667,24,0.08139534883720931,18,7,chiphi,24,02,33,0.38372093023255816,86,12,0.631578947368421,19,0.13953488372093023,1,1,11,12,23,85,11,35.806666666666665,15,0.450402713013989,0,2007,0.42441860465116277,20071102,20071102chiphi,Chicago, -8.5,-110
13,20,12,0.5454545454545454,22,0.14814814814814814,18,8,clenyk,26,02,38,0.4691358024691358,81,22,0.7096774193548387,31,0.2716049382716049,1,1,11,13,22,110,5,36.803333333333335,13,0.5811496196111581,0,2007,0.5432098765432098,20071102,20071102clenyk,Cleveland, -5,-110
14,10,7,0.4666666666666667,15,0.08433734939759036,22,13,indmia,37,02,33,0.39759036144578314,83,14,0.6666666666666666,21,0.1686746987951807,1,0,11,13,18,87,9,29.019999999999992,14,0.47159583694709456,1,2007,0.4397590361445783,20071102,20071102indmia,Indiana, -7,-110
15,30,7,0.3888888888888889,18,0.08235294117647059,28,6,lacgsw,38,02,41,0.4823529411764706,85,31,0.8611111111111112,36,0.36470588235294116,1,0,11,15,21,120,5,28.273333333333333,18,0.5950019833399445,0,2007,0.5235294117647059,20071102,20071102lacgsw,L.A. Clippers, -2.5,-110
16,-40,7,0.3181818181818182,22,0.07954545454545454,23,4,minden,31,02,35,0.3977272727272727,88,14,0.7368421052631579,19,0.1590909090909091,1,0,11,9,28,91,12,31.166666666666668,12,0.4721876297218763,0,2007,0.4375,20071102,20071102minden,Minnesota, +8,-110
17,-120,8,0.4444444444444444,18,0.1038961038961039,16,2,orldet,24,02,31,0.4025974025974026,77,22,0.6666666666666666,33,0.2857142857142857,1,0,11,10,20,92,5,33.47666666666667,12,0.5026223776223776,1,2007,0.45454545454545453,20071102,20071102orldet,Orlando, -3,-110
18,-105,9,0.32142857142857145,28,0.10344827586206896,20,9,pholal,25,02,37,0.42528735632183906,87,15,0.6818181818181818,22,0.1724137931034483,1,0,11,9,16,98,10,28.81666666666667,13,0.5068266446007447,1,2007,0.47701149425287354,20071102,20071102pholal,Phoenix, -9.5,-110
19,80,12,0.4444444444444444,27,0.16,24,5,sassac,39,02,31,0.41333333333333333,75,22,0.88,25,0.29333333333333333,1,0,11,11,26,96,8,23.303333333333335,19,0.5581395348837209,2,2007,0.49333333333333335,20071102,20071102sassac,San Antonio, -14.5,-110
20,105,7,0.5,14,0.10144927536231885,29,5,dalsac,24,03,45,0.6521739130434783,69,26,0.896551724137931,29,0.37681159420289856,1,1,11,7,22,123,5,26.263333333333332,14,0.7522015655577299,1,2007,0.7028985507246377,20071103,20071103dalsac,Dallas, -14.5,-110
21,45,6,0.2727272727272727,22,0.06593406593406594,23,0,houpor,32,03,36,0.3956043956043956,91,11,0.7333333333333333,15,0.12087912087912088,1,0,11,15,18,89,8,32.15333333333333,10,0.4559426229508197,2,2007,0.42857142857142855,20071103,20071103houpor,Houston, -12,-110
22,-50,10,0.37037037037037035,27,0.15151515151515152,20,3,memind,31,03,32,0.48484848484848486,66,37,0.7254901960784313,51,0.5606060606060606,1,1,11,6,28,111,5,30.3,27,0.6275440976933514,0,2007,0.5606060606060606,20071103,20071103memind,Memphis, -4.5,-110
23,30,5,0.3125,16,0.06578947368421052,16,5,milchi,34,03,25,0.32894736842105265,76,23,0.8214285714285714,28,0.3026315789473684,1,2,11,13,21,78,8,28.736666666666668,15,0.4415760869565218,0,2007,0.3618421052631579,20071103,20071103milchi,Milwaukee, +2.5,-110
